text,label
我 就 奇怪 了 为啥 你 能 拍 得 这么 美 呢 ,2
因为 我 做 什么 都 认真 都 诚心诚意 ,2
好 你 诚心诚意 我 谦虚 低调 咱 都 是 优秀品格 的 人 再 赞 一个 干杯 ,2
嗯 嗯 咱俩 都 是 最 可爱 的 人 ,2
是 这 是 人家 自己 的 事 就算 我能 见到 她 也 不会 说 你们 分手 吧 什么 的 可是 我 真心 不 喜欢 冯绍峰 这个 理由 够 吗 ,5
最起码 那 孩子 对 倪妮 没 恶意 你 不 开心 也 别来 这里 找人 吵架 不好 吗 ,5
我 只是 看到 评论 觉得 很 不爽 而且 憋 很 久 不 懂 的 可以 闭嘴 吗 ,5
你 不爽 就 来说 谁 配不上 谁 还 让 大家 都 迁就 你 ,5
狂上 加狂 的 旧时 燕飞 帝王 家 和 危宫 惊梦 ,6
哈哈 我 也 推 这本 她 古文 好 厉害 ,2
原来 特别 喜欢 他 写 的 耽美 没想到 男女 的 也 写 的 很 好看 太棒了 哈 ,2
我 不 看 耽美 接触 她 的 第一本 就是 旧时 好好看 好久没 看 的 那么 过瘾 ,2
呵呵 呵呵 呵呵 呵呵 你 拍 我家 枇杷树 跟 我 说 了 嘛 不准 吃 我家 枇杷 都 我 的 ,5
写 你 名 了 写 你 名 了 写 你 名 了 ,5
你 难道 没 看到 么 当初 我 在 每颗 果子 上 都 刻 了 我 的 大名 ,5
有 枇杷 满枝 吾 妹未出 阁楼 时 亲手 所刻 今 已 糟蹋 完矣 ,5
哎 我 就 吃 下 这个 哑巴亏 算了 ,3
呔 妖怪 死到 临头 还 嘴硬 ,5
真不愧是 嘴 脸红 看 我 不收 了 你 ,5
自古 真情 留不住 唯有 套路 留 人心 ,3
还 不 睡 你 手机 的 电量 真是 感人 ,6
偶看 报纸 上 的 评论 好像 也 不 看好 ,3
明天 要是 有时候 间 就 去 看 少年 派 据说 很 好 周末 快乐 哦 ,2
周末 快乐 等 你 看 完 再 讲评 讲评 哦 ,2
下午 看 了 少年 派 奇幻 漂流 李安 的 片子 不错 值得一看 的 ,2
你 这个 包裹 厉害 的 据说 最近 除 重量 外 要算 体积 了 ,2
我 刚好 是 在 那个 通知 发出 的 前一天 发货 的 ,6
太棒了 我 的 几件 东西 还 没到 齐 还 得 等 几天 ,2
你 也 买 啦 我 买 了 16 家 都 是 很快 就 到 了 ,6
止不住 的 买买 买 浪潮 ,6
道理 是 这样 的 不过 茶 没味 了 也 是 有 过程 的 有些 茶 是 会 让 人 回味无穷 的 ,6
茶 本身 不会 回味无穷 能够 回味无穷 的 都 是 自己 内心 的 感受 ,6
其实 只要 经历 过 就 好 忘记 的 就 忘记 吧 明天 会 有 更好 的 回忆 圣诞快乐 ,2
生命 长河 中 有些 回忆 举足轻重 有些 能 记住 一辈子 其实 都 不 重要 只要 能 感受 到 快乐 就行 谢谢 圣诞快乐 ,2
我 当时 也 是 这样 想 的 实在 是 太美 了 ,2
是 咯 不过 我 还是 好 想 换 相机 喔 哈哈 ,1
要换 单反 么 不过 我 最近 才刚 买 了 新 的 ,6
亲爱 的 你 买 的 啥 ,6
gf2 去 澳门 玩 的 时候 买 的 ,6
样子 问题 我 早就 说 了 不 卖 哈哈 ,1
要你管 啦 票房 又 不能 说明 一切 不过 有些 人 不 懂 欣赏 罢了 ,5
啊 哈哈 叔叔 莫 着急 你 喜欢 周杰伦 必须 得 爱屋及乌 的 啦 ,2
这 还 差不多 诶 你 大学 录 了 吧 ,6
现在 才 知道 来 关心 我 ,3
我 也 才 收到 录取 通知 啊 ,6
饿 我 这边 好 塞车 ,3
你 唔 系 搭 地铁 嘅 咩 ,6
地铁 要 专线 好远 ,3
呃 虽然 我 中意 坐 巴士 多过 坐地铁 哈哈 不过 地铁 快 喔 ,2
这 什么 地方 这么 落后 啊 … ,3
居然 是 广州 的 一个 铺位 ,3
你 没 给 他 普及 微信 支付 么 … 看来 还要 加大力度 啊 看来 这 老板 平时 不玩 微信 啊 ,3
要 好好 普及 一下 很 显然 他 玩 否则 不会 知道 有 其他 支付 方式 哈哈 ,1
pgone 陌陌 号 上发 dp 照片 配字 约 吗 ,5
还 在 626 国际禁毒日 那天 发 的 … 屁股 王 很 牛 逼 是 吗 ,5
对 呀 光明正大 抄袭 又 光明正大 约 d 王昊怕 过 谁 ,5
原来 他 叫 王昊 啊 … 怪不得 都 叫 他 屁股 王 ,5
拒绝 就 不会 吃 了 ,6
你 这 逻辑 有 问题 好好 读书 吧 ,5
呵呵 哒 难道 你 是 来 这里 展现 自己 的 高风亮节 的 ,5
难道 你 来 这里 展现 你 的 无知 愚昧 ,5
你们 为什么 见到 雪 那么 兴奋 ,6
我 从小到大 没有 见 过 雪 你 觉得 呢 跟 你们 喜欢 大海 一样 ,1
我 本人 对 大海 没什么 感觉 hhhh 第一次 看见 也 不 兴奋 ,6
哈哈哈 好 吧 怪 我 怪 我 ,1
所以 在 盼望 结束 么 ,6
是 期待 奖品 的 那天 嘻嘻 ,1
